Daniel Dae Kim,neutral,0
Oregon,neutral,0
Dr. Randall Williams,positive,0.805474
USA,neutral,0
Barack Obama,negative,-0.865752
Bill Gates,neutral,0
Chuck,negative,-0.55775
COVID,negative,-0.948262
Trump,negative,-0.949363
INDIA,negative,-0.925685
Alec Baldwin,neutral,0
Mzwakhe Mbuli,negative,-0.920368
Andrew Yang,negative,-0.605845
Grassley,neutral,0
Trump,neutral,0
Trump,neutral,0
Frank Ski,neutral,0
DeKalb,neutral,0
Trump,neutral,0
Donald Trump,neutral,0
Bernie,negative,-0.681354
Fran Lebowitz,neutral,0
bernie,neutral,0
Donald Trump,neutral,0
Tablighi Jamat,neutral,0
Prince George,neutral,0
Bernie Sanders,positive,0.40136
Gates,negative,-0.640314
Donald Trump,neutral,0
Delhi,neutral,0
Trump,neutral,0
Trump,negative,-0.973558
Trump,positive,0.657893
Bernie,positive,0.965338
Amy McGrath,positive,0.683896
BILL GATES,negative,-0.818299
Las Vegas,negative,-0.45726
UK,negative,-0.851873
Trump,negative,-0.943601
Narendra Modi,positive,0.975238
BERNIE SANDERS,negative,-0.706414
Trump,neutral,0
President Trump,neutral,0
Jim,neutral,0
Sanders,negative,-0.940153
Bernie,negative,-0.628043
James Bond,negative,-0.628043
Bernie,positive,0.430669
@narendramodi,positive,0.955684
Bernie,positive,0.653312
Trump,negative,-0.947567
Bernie,negative,-0.972496
Biden,positive,0.621443
United States,neutral,0
Bernie,negative,-0.53891
Trump,negative,-0.68462
Joe Biden,neutral,0
Trump,negative,-0.411136
Trump,negative,-0.558725
Former VP Joe Biden,neutral,0
China,negative,-0.871636
Berners,positive,0.821329
Trump s,negative,-0.679034
BERNIE SANDERS,negative,-0.706414
Yi Chang,neutral,0
Bernie,positive,0.945321
Trump,positive,0.666818
Trump,negative,-0.964414
Trump,negative,-0.917879
RT @JesseLehrich,positive,0.887606
Trump,negative,-0.70407
Doctor Fauci,negative,-0.636424
Dr. Randall Williams,positive,0.805474
Bernie,negative,-0.778143
Bernie,negative,-0.864745
Parscale,neutral,0
Trump,negative,-0.887564
bernie,negative,-0.771827
Sean Penn,negative,-0.83135
Hillary,negative,-0.709227
Bernie,neutral,0
Bill Gates,negative,-0.731604
Mike Dewine,neutral,0
Bernie,neutral,0
Donald Trump,negative,-0.818525
Bernie Sanders,positive,0.929271
Bernie,negative,-0.564543
Barr,negative,-0.861142
Trump,negative,-0.841454
Flint,neutral,0
india,positive,0.967799
Daniel Dae Kim,neutral,0
Trump,negative,-0.970503
President Trump,negative,-0.87705
Bernie,negative,-0.53891
Trump,negative,-0.372307
Bernie,neutral,0
Boas,neutral,0
Nuremberg,neutral,0
Bernie,negative,-0.53891
BERNIE SANDERS,negative,-0.706414
Trump,negative,-0.803663
Biden,negative,-0.473683
BIll Gates,neutral,0
Joe Biden,neutral,0
India,negative,-0.958344
United States of America,neutral,0
Donald Trump,neutral,0
George Weah,neutral,0
Liberia,neutral,0
BERNIE SANDERS,positive,0.551771
RT @JesseLehrich,positive,0.887606
Trump,negative,-0.68462
Nuremberg,neutral,0
Trump,neutral,0
India,neutral,0
NYC,positive,0.846932
Trump,negative,-0.906776
Chuck Grassley,negative,-0.847707
@ajamubaraka,negative,-0.759583
Trump,negative,-0.759583
Gov. Gretchen Whitmer,negative,-0.522838
Biden,negative,-0.838297
Dr. @drscottjensen,negative,-0.917244
Trump,neutral,0
Fauci,negative,-0.69907
Bernie,positive,0.935421
President Trump,neutral,0
Trump,negative,-0.944881
Bernie,negative,-0.972496
Rep. Porter,negative,-0.796224
Biden,negative,-0.555134
Bernie,negative,-0.53891
Barbados,neutral,0
Wisconsin,neutral,0
Former Sanders,negative,-0.535653
Iraq,negative,-0.975268
Bernie Sanders,negative,-0.91102
BERNIE SANDERS,negative,-0.706414
David Frum,positive,0.419829
Europe,neutral,0
Daniel Dae Kim,neutral,0
Tyler Perry,negative,-0.957634
India,negative,-0.902808
Biden,negative,-0.818033
Trump,negative,-0.811388
bernie,negative,-0.771827
Trump,negative,-0.952075
Bernie,negative,-0.564543
Bernie,negative,-0.6662
Trump,negative,-0.952075
Humboldt County,neutral,0
Trump,negative,-0.415637
Michelle,negative,-0.621947
Greece,negative,-0.661697
Asia,negative,-0.803788
Pete Buttigieg,negative,-0.442897
Bill Gates,negative,-0.724467
Bernie,positive,0.721967
Trump,neutral,0
Bernie Sanders,positive,0.675865
Biden,negative,-0.766165
Bill Gates,negative,-0.724467
Daniel Dae Kim,neutral,0
Bernie,neutral,0
bernie,neutral,0
Chuck,neutral,0
BERNIE SANDERS,negative,-0.706414
Jim,negative,-0.758454
Dr. Fauci,positive,0.683135
David Frum,positive,0.419829
Bernie,positive,0.967485
Bernie,neutral,0
Bernie,negative,-0.564543
trump,neutral,0
India,negative,-0.946609
Trump,positive,0.516412
bernie,negative,-0.771827
Dorothy Yeboah,neutral,0
Yi Chang,neutral,0
COVID,positive,0.314265
Barr,negative,-0.82177
Daniel Dae Kim,neutral,0
BERNIE SANDERS,positive,0.551771
Bernie,negative,-0.936927
James,neutral,0
